company,job_name,requirements,workplace
"
字节跳动
",招聘项目管理专家,本科以上 | 5年以上 | 全职,北京
"
字节跳动
",招聘运营专家,本科以上 | 5年以上 | 全职,北京
"
网易
",资深UI设计师,本科以上 | 4年以上 | 全职,杭州
"
网易
",资深前端开发工程师,本科以上 | 5-10年 | 全职 | 15000-25000元,杭州
"
网易
",商务运营专员,本科以上 | 全职 | 8.4-14.4万元,广州
"
网易
",用户运营,本科以上 | 全职,广州
"
网易
",资深游戏场景设计师,本科以上 | 3年以上 | 全职,杭州
"
网易
",游戏编辑器开发工程师,本科以上 | 3年以上 | 全职 | 32.0-48.0万元,杭州
"
网易
",游戏服务端研发工程师,本科以上 | 全职 | 24.0-48.0万元,广州
"
网易
",嵌入式linux系统工程师,本科以上 | 3年以上 | 全职 | 30.0-60.0万元,北京
"
网易
",资深商品开发,3-5年 | 全职 | 15000-25000元,杭州
"
网易
",高级产品经理,本科以上 | 全职 | 24.0-48.0万元,广州
"
网易
",Treasury Analyst,本科以上 | 3年以上 | 全职 | 24.0-40.0万元,--
"
软通动力
",白盒黑盒测试工程师,本科以上 | 3年以上 | 全职 | 12.0-18.0万元,深圳
"
软通动力
",对日.net开发工程师,大专以上 | 1年以上 | 全职 | 6.0-12.0万元,威海
"
软通动力
",产品经理,本科以上 | 3年以上 | 全职 | 12.0-30.0万元,北京
"
软通动力
",交互设计师,本科以上 | 2年以上 | 全职 | 14.4-24.0万元,南京
"
软通动力
",Linux运维工程师,本科以上 | 2年以上 | 全职 | 10.4-11.7万元,成都
"
软通动力
",监控工程师,大专以上 | 2年以上 | 全职 | 12.0-24.0万元,北京
"
软通动力
",中级性能测试工程师,本科以上 | 2年以上 | 全职 | 9.6-14.4万元,成都
"
软通动力
",安规工程师,本科以上 | 2年以上 | 全职 | 14.4-18.0万元,深圳
"
软通动力
",Android工程师,大专以上 | 1年以上 | 全职 | 12.0-30.0万元,北京
"
软通动力
",大数据工程师,本科以上 | 3年以上 | 全职 | 18.0-36.0万元,太原
"
软通动力
",云计算工程师,本科以上 | 3年以上 | 全职 | 18.0-36.0万元,成都
"
软通动力
",Java高级开发工程师,大专以上 | 3年以上 | 全职 | 12.0-18.0万元,武汉
"
软通动力
",AWS,本科以上 | 1年以上 | 全职 | 12.0-18.0万元,成都
"
软通动力
",硬件开发座舱,大专以上 | 1年以上 | 全职 | 9.6-24.0万元,上海
"
软通动力
",性能测试,本科以上 | 5年以上 | 全职 | 13.2-19.2万元,上海
