食物种类,食物名,热量,食物详情页面链接
"谷薯芋、杂豆、主食
  ",Easy Fun 姜汁薄脆,热量：446 大卡(每100克),http://www.boohee.com/shiwu/fd5320fd
"谷薯芋、杂豆、主食
  ",Easy Ace 营养可可,热量：356 大卡(每100克),http://www.boohee.com/shiwu/fd361aa5
"谷薯芋、杂豆、主食
  ",Easy Fun 奇亚籽豆乳味威化,热量：471 大卡(每100克),http://www.boohee.com/shiwu/fdc6c56a
"谷薯芋、杂豆、主食
  ",Easy Fun 奇亚籽（新包装）,热量：456 大卡(每100克),http://www.boohee.com/shiwu/fdad1c67
"谷薯芋、杂豆、主食
  ",麦当劳 双层吉士汉堡,热量：288 大卡(每100克),http://www.boohee.com/shiwu/maidanglaoshuangcengjishihanbao
"谷薯芋、杂豆、主食
  ",椰圈面包,热量：320 大卡(每100克),http://www.boohee.com/shiwu/yequanmianbao
"谷薯芋、杂豆、主食
  ",三明治（夹鸡蛋、干酪）,热量：234 大卡(每100克),http://www.boohee.com/shiwu/sanmingzhi_jiahuotui_jidan
"谷薯芋、杂豆、主食
  ",私房小厨苡仁粉,热量：449 大卡(每100克),http://www.boohee.com/shiwu/sifangxiaochuyirenfen
"谷薯芋、杂豆、主食
  ",麦当劳 麦辣鸡腿汉堡,热量：320 大卡(每100克),http://www.boohee.com/shiwu/maidanglaomailajituihanbao
"谷薯芋、杂豆、主食
  ",思念 奶香馒头,热量：268 大卡(每100克),http://www.boohee.com/shiwu/siniannaixiangmantou
"谷薯芋、杂豆、主食
  ",麦当劳 培根蔬萃双层牛堡,热量：202 大卡(每100克),http://www.boohee.com/shiwu/maidanglaoxianshuzuzunniubao
"谷薯芋、杂豆、主食
  ",三明治（夹火腿、干酪）,热量：244 大卡(每100克),http://www.boohee.com/shiwu/sanmingzhi_jiahuotui_ganlao
"谷薯芋、杂豆、主食
  ",麦当劳 巨无霸汉堡,热量：249 大卡(每100克),http://www.boohee.com/shiwu/maidanglaojuwubahanbao
"谷薯芋、杂豆、主食
  ",麦当劳 原味板烧鸡腿堡,热量：236 大卡(每100克),http://www.boohee.com/shiwu/maidanglaoyuanweibanshaojituibao
"谷薯芋、杂豆、主食
  ",Easy Fun 营养粉丝（酸辣汤),热量：347 大卡(每100克),http://www.boohee.com/shiwu/fde5ae8a
"谷薯芋、杂豆、主食
  ",Easy Fun 益生菌谷谷巧克力球,热量：544 大卡(每100克),http://www.boohee.com/shiwu/fd329edf
"谷薯芋、杂豆、主食
  ",Easy Fan 番茄牛肉轻火锅,热量：94 大卡(每100克),http://www.boohee.com/shiwu/fd71a539
"谷薯芋、杂豆、主食
  ",Easy Fun 可可低脂脆,热量：388 大卡(每100克),http://www.boohee.com/shiwu/fd32f44d
"谷薯芋、杂豆、主食
  ",Easy Fun 蛋白棒（英式红茶味）,热量：390 大卡(每100克),http://www.boohee.com/shiwu/fd49707d
"谷薯芋、杂豆、主食
  ",Easy Fun 蛋白棒（香浓可可味）,热量：396 大卡(每100克),http://www.boohee.com/shiwu/fd8d2aa8
"谷薯芋、杂豆、主食
  ",Easy Fun 榴莲果果麦片,热量：441 大卡(每100克),http://www.boohee.com/shiwu/fdc41987
"谷薯芋、杂豆、主食
  ",黄油面包,热量：331 大卡(每100克),http://www.boohee.com/shiwu/huangyoumianbao
"谷薯芋、杂豆、主食
  ",方便面,热量：473 大卡(每100克),http://www.boohee.com/shiwu/fangbianmian
"谷薯芋、杂豆、主食
  ",果料面包,热量：279 大卡(每100克),http://www.boohee.com/shiwu/guoliaomianbao
"谷薯芋、杂豆、主食
  ",牛角面包,热量：378 大卡(每100克),http://www.boohee.com/shiwu/fashiniujiaomianbao
"谷薯芋、杂豆、主食
  ",红烧牛肉方便面（面饼+调味料+蔬菜+肉酱）,热量：447 大卡(每100克),http://www.boohee.com/shiwu/hongshaoniuroufangbianmian_mianbingdiaoweiliaoshucairoujiang
"谷薯芋、杂豆、主食
  ",双层奶酪汉堡（夹奶酪，双层肉饼、双层面包，加调料酱和蔬菜）,热量：285 大卡(每100克),http://www.boohee.com/shiwu/ganlaohanbaobao_putongxing_jianailao_shuangcengroubing_shuangcengmianbao_jiadiao
"谷薯芋、杂豆、主食
  ",山药,热量：57 大卡(每100克),http://www.boohee.com/shiwu/shanyao
"谷薯芋、杂豆、主食
  ",炒饭,热量：188 大卡(每100克),http://www.boohee.com/shiwu/shijinchaofan
"谷薯芋、杂豆、主食
  ",芋头,热量：56 大卡(每100克),http://www.boohee.com/shiwu/yutou
"谷薯芋、杂豆、主食
  ",葡萄干面包,热量：260 大卡(每100克),http://www.boohee.com/shiwu/putaoganmianbao
"谷薯芋、杂豆、主食
  ",咸面包,热量：275 大卡(每100克),http://www.boohee.com/shiwu/xianmianbao
"谷薯芋、杂豆、主食
  ",黑芝麻汤圆,热量：311 大卡(每100克),http://www.boohee.com/shiwu/heizhimatangyuan
"谷薯芋、杂豆、主食
  ",黑米,热量：341 大卡(每100克),http://www.boohee.com/shiwu/heimi
"谷薯芋、杂豆、主食
  ",煮芋头,热量：60 大卡(每100克),http://www.boohee.com/shiwu/yutou_zhu
"谷薯芋、杂豆、主食
  ",多维面包,热量：316 大卡(每100克),http://www.boohee.com/shiwu/duoweimianbao
"谷薯芋、杂豆、主食
  ",小麦粉(标准粉),热量：362 大卡(每100克),http://www.boohee.com/shiwu/xiaomaifen_biaozhunfen
"谷薯芋、杂豆、主食
  ",澳洲燕麦片,热量：359 大卡(每100克),http://www.boohee.com/shiwu/aozhouyanmaipian
"谷薯芋、杂豆、主食
  ",玉米面(黄),热量：350 大卡(每100克),http://www.boohee.com/shiwu/yumimian_huang
"谷薯芋、杂豆、主食
  ",挂面,热量：353 大卡(每100克),http://www.boohee.com/shiwu/guamian_junzhi
"谷薯芋、杂豆、主食
  ",粉条（干）,热量：338 大卡(每100克),http://www.boohee.com/shiwu/fentiao
"谷薯芋、杂豆、主食
  ",麦当劳 汉堡包,热量：262 大卡(每100克),http://www.boohee.com/shiwu/fd46d808
"谷薯芋、杂豆、主食
  ",麦当劳 吉士汉堡包,热量：255 大卡(每100克),http://www.boohee.com/shiwu/maidanglaojishihanbao
"谷薯芋、杂豆、主食
  ",魔芋精粉,热量：186 大卡(每100克),http://www.boohee.com/shiwu/moyujingfen
"谷薯芋、杂豆、主食
  ",红豆,热量：324 大卡(每100克),http://www.boohee.com/shiwu/chixiaodou
"谷薯芋、杂豆、主食
  ",餐包,热量：284 大卡(每100克),http://www.boohee.com/shiwu/fashipeicanmianbao
"谷薯芋、杂豆、主食
  ",烧饼(加糖),热量：298 大卡(每100克),http://www.boohee.com/shiwu/shaobing_jiatang
"谷薯芋、杂豆、主食
  ",绿豆（干）,热量：329 大卡(每100克),http://www.boohee.com/shiwu/lvdou
"谷薯芋、杂豆、主食
  ",薏米,热量：361 大卡(每100克),http://www.boohee.com/shiwu/yimi
"谷薯芋、杂豆、主食
  ",粉丝（干）,热量：338 大卡(每100克),http://www.boohee.com/shiwu/fensi
"谷薯芋、杂豆、主食
  ",面条(标准粉，切面),热量：283 大卡(每100克),http://www.boohee.com/shiwu/miantiao_biaozhunfen_qiemian
"谷薯芋、杂豆、主食
  ",麦维面包,热量：270 大卡(每100克),http://www.boohee.com/shiwu/maiweimianbao
"谷薯芋、杂豆、主食
  ",蒙尔司 年糕（低糖桂花年糕）,热量：156 大卡(每100克),http://www.boohee.com/shiwu/niangao
"谷薯芋、杂豆、主食
  ",麦片,热量：368 大卡(每100克),http://www.boohee.com/shiwu/maipian
"蛋类、肉类及制品
  ",Easy Fun 高蛋白小酥鱼（藤椒味）,热量：351 大卡(每100克),http://www.boohee.com/shiwu/fdc19ab3
"蛋类、肉类及制品
  ",鸡蛋,热量：144 大卡(每100克),http://www.boohee.com/shiwu/jidan_junzhi
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡胸肉肠（香辣味）,热量：136 大卡(每100克),http://www.boohee.com/shiwu/fd7a0fa9
"蛋类、肉类及制品
  ",Easy Fun 鸡胸肉丝（原味）,热量：418 大卡(每100克),http://www.boohee.com/shiwu/fda82c33
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡胸肉（黑椒味）,热量：134 大卡(每100克),http://www.boohee.com/shiwu/fd1c845f
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡胸肉（香辣味）,热量：130 大卡(每100克),http://www.boohee.com/shiwu/fd4a70b4
"蛋类、肉类及制品
  ",Easy Fun 低脂鸡肉丸（原味）,热量：93 大卡(每100克),http://www.boohee.com/shiwu/fd4e5f89
"蛋类、肉类及制品
  ",Easy S 低脂牛肉小方（五香味）,热量：165 大卡(每100克),http://www.boohee.com/shiwu/fd01a3cf
"蛋类、肉类及制品
  ",Easy S 低脂鸡蛋干（五香味）,热量：124 大卡(每100克),http://www.boohee.com/shiwu/fd31e13e
"蛋类、肉类及制品
  ",Easy S 低脂鸡胸肉（香辣味）,热量：130 大卡(每100克),http://www.boohee.com/shiwu/fd56d800
"蛋类、肉类及制品
  ",猪肉（瘦）,热量：143 大卡(每100克),http://www.boohee.com/shiwu/zhurou_shou
"蛋类、肉类及制品
  ",水煮蛋,热量：151 大卡(每100克),http://www.boohee.com/shiwu/jidan_zhu
"蛋类、肉类及制品
  ",鸡蛋白（鸡蛋清）,热量：60 大卡(每100克),http://www.boohee.com/shiwu/jidanbai_jidanqing
