电影名称,评分,推荐语,电影链接
《钢琴家》,9.2分,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
《V字仇杀队》,8.9分,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
《本杰明·巴顿奇事》,8.9分,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
《看不见的客人》,8.8分,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
《让子弹飞》,8.8分,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
《西西里的美丽传说》,8.9分,美丽无罪。,https://movie.douban.com/subject/1292402/
《小鞋子》,9.2分,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
《拯救大兵瑞恩》,9.0分,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
《情书》,8.9分,暗恋的极致。,https://movie.douban.com/subject/1292220/
《穿条纹睡衣的男孩》,9.1分,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
《音乐之声》,9.0分,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
《绿皮书》,8.9分,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
《美国往事》,9.2分,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
《海蒂和爷爷》,9.2分,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
《致命魔术》,8.9分,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
《低俗小说》,8.8分,故事的高级讲法。,https://movie.douban.com/subject/1291832/
《七宗罪》,8.8分,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
《沉默的羔羊》,8.8分,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
《蝴蝶效应》,8.8分,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
《春光乍泄》,8.9分,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
《禁闭岛》,8.8分,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
《被嫌弃的松子的一生》,8.9分,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
《心灵捕手》,8.9分,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
《布达佩斯大饭店》,8.8分,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
《阿凡达》,8.7分,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
《剪刀手爱德华》,8.7分,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
《勇敢的心》,8.9分,史诗大片的典范。,https://movie.douban.com/subject/1294639/
《摩登时代》,9.3分,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
《天使爱美丽》,8.7分,法式小清新。 ,https://movie.douban.com/subject/1292215/
《喜剧之王》,8.7分,我是一个演员。,https://movie.douban.com/subject/1302425/
《致命ID》,8.8分,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
《加勒比海盗》,8.7分,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
《断背山》,8.8分,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
《杀人回忆》,8.8分,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
《狩猎》,9.1分,人言可畏。,https://movie.douban.com/subject/6985810/
《幽灵公主》,8.9分,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
《哈利·波特与死亡圣器(下)》,8.8分,10年的完美句点。,https://movie.douban.com/subject/3011235/
《请以你的名字呼唤我》,8.9分,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
《阳光灿烂的日子》,8.8分,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
《入殓师》,8.8分,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
《重庆森林》,8.7分,寂寞没有期限。,https://movie.douban.com/subject/1291999/
《小森林 夏秋篇》,9.0分,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
《第六感》,8.9分,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
《7号房的礼物》,8.9分,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
《消失的爱人》,8.7分,年度最佳date movie。,https://movie.douban.com/subject/21318488/
《红辣椒》,9.0分,梦的勾结。,https://movie.douban.com/subject/1865703/
《小森林 冬春篇》,9.0分,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
《爱在黎明破晓前》,8.8分,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
《侧耳倾听》,8.9分,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
《玛丽和马克思》,8.9分,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
《一一》,9.0分,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
《唐伯虎点秋香》,8.6分,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
《告白》,8.7分,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
《蝙蝠侠：黑暗骑士崛起》,8.8分,诺兰就是保证。,https://movie.douban.com/subject/3395373/
《大鱼》,8.8分,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
《阳光姐妹淘》,8.8分,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
《倩女幽魂》,8.7分,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
《超脱》,8.9分,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
《射雕英雄传之东成西就》,8.7分,百看不厌。 ,https://movie.douban.com/subject/1316510/
《萤火之森》,8.9分,触不到的恋人。,https://movie.douban.com/subject/5989818/
《甜蜜蜜》,8.8分,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
《驯龙高手》,8.7分,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
《无人知晓》,9.1分,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
《超能陆战队》,8.7分,Balalala~~~,https://movie.douban.com/subject/11026735/
《幸福终点站》,8.8分,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
《借东西的小人阿莉埃蒂》,8.8分,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
《菊次郎的夏天》,8.8分,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
《爱在日落黄昏时》,8.8分,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
《恐怖直播》,8.8分,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
《完美的世界》,9.1分,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
《神偷奶爸》,8.6分,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
